location_id,state_ut,district,Disease,year,week,Cases,preci,LAI,Temp,Latitude,Longitude
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,18,71,0.0430614165,7.0,312.96,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,22,55,0.08862595967,6.0,314.135,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,23,150,0.14388467698500002,7.5,312.5075,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,25,50,0.04302627188,4.0,308.54,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,26,28,0.04302627188,4.0,308.54,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,27,28,0.04302627188,4.0,308.54,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,28,121,0.4360617358,6.0,306.2,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,30,21,0.9857051618,4.0,303.18,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2011,31,40,0.9857051618,4.0,303.18,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2012,35,28,0.4921974488,6.0,299.64,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2012,39,18,0.008389028539,15.0,307.41,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2012,41,22,0.1665819417,16.0,301.935,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2013,29,50,0.5152907256,9.0,303.11,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2013,30,99,0.7500775955,4.0,303.11,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2013,47,43,0.0549546173951,12.5,302.8473333,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2015,21,34,0.0271350511,6.0,310.176,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2016,7,11,8.36e-05,9.0,311.1766666,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2016,23,34,0.61201615,5.0,303.11,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2017,19,28,0.04057648441,4.0,318.66,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2017,22,43,0.006801795772,9.0,317.02,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2018,8,27,7.8e-05,6.0,309.112,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2019,16,42,0.02615758416,9.0,317.156,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2019,43,91,0.1976218729,12.5,301.9166667,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2019,50,60,0.009241834235,12.0,301.62,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2021,8,24,0.007255567001,8.0,306.6,15.8309251,78.0425373
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2021,29,41,1.222079249,6.0,300.2,15.8309251,78.0425373
Andhra Pradesh_Nellore_Acute Diarrhoeal Disease,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,2009,26,43,0.1331302201,10.0,309.73,13.4923257,79.202539
Andhra Pradesh_Nellore_Acute Diarrhoeal Disease,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,2010,41,27,0.09589897066,16.0,303.94,13.4923257,79.202539
Andhra Pradesh_Nellore_Acute Diarrhoeal Disease,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,2010,49,38,0.6782579387,15.0,299.22,13.4923257,79.202539
Andhra Pradesh_Nellore_Acute Diarrhoeal Disease,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,2011,27,96,0.19658321493,9.5,307.135,13.4923257,79.202539
Andhra Pradesh_Nellore_Acute Diarrhoeal Disease,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,2011,28,31,0.08416464069,6.0,306.9666666,13.4923257,79.202539
